No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,a2 capacitación,1300,1,622,18,http://a2capacitacion.com/
2,cursos de excel avanzado gratis,390,1,196,22,http://a2capacitacion.com/cursoexcelgratis.html
3,curso de excel intermedio gratis,210,1,76,9,http://a2capacitacion.com/cursoexcelgratis.html
4,aprender excel,260,2,20,26,http://a2capacitacion.com/cursoexcelgratis.html
5,excel basico gratis,260,2,16,27,http://a2capacitacion.com/cursoexcelgratis.html
6,excel básico gratis,260,2,16,27,http://a2capacitacion.com/cursoexcelgratis.html
7,aprender excel gratis,210,2,15,31,http://a2capacitacion.com/cursoexcelgratis.html
8,curso gratuito de excel avanzado,390,2,14,25,http://a2capacitacion.com/cursoexcelgratis.html
9,cursos de excel gratis,4400,3,152,36,http://a2capacitacion.com/cursoexcelgratis.html
10,excel gratis curso,1600,3,30,38,http://a2capacitacion.com/cursoexcelgratis.html
11,curso excel gratis,1600,3,29,38,http://a2capacitacion.com/cursoexcelgratis.html
12,cursos excel gratis,1600,3,29,25,http://a2capacitacion.com/cursoexcelgratis.html
13,cursos gratuitos excel,1600,3,27,25,http://a2capacitacion.com/cursoexcelgratis.html
14,curso de excel,6600,4,335,31,http://a2capacitacion.com/cursoexcelgratis.html
15,curso de excel gratis,4400,4,114,37,http://a2capacitacion.com/cursoexcelgratis.html
16,clase de excel,320,4,11,22,http://a2capacitacion.com/cursoexcelgratis.html
17,curso gratis de excel,720,4,8,37,http://a2capacitacion.com/cursoexcelgratis.html
18,curso de excel basico gratis,590,4,3,27,http://a2capacitacion.com/cursoexcelgratis.html
19,curso basico de excel gratis,590,4,3,27,http://a2capacitacion.com/cursoexcelgratis.html
20,cursos de excel,6600,5,86,45,http://a2capacitacion.com/cursoexcelgratis.html
21,avanzado excel,1000,5,60,25,http://a2capacitacion.com/cursoexcelgratis.html
22,curso de excel intermedio,320,5,9,17,http://a2capacitacion.com/cursoexcelgratis.html
23,excel curso,480,5,6,41,http://a2capacitacion.com/cursoexcelgratis.html
24,clases de excel,320,5,4,30,http://a2capacitacion.com/cursoexcelgratis.html
25,cursos virtuales gratis de excel,480,5,4,26,http://a2capacitacion.com/cursoexcelgratis.html
26,excel avanzado,1000,6,60,24,http://a2capacitacion.com/cursoexcelgratis.html
27,como aprender excel,210,8,3,33,http://a2capacitacion.com/cursoexcelgratis.html
28,excel intermedio,880,8,3,2,http://a2capacitacion.com/cursoexcelgratis.html
29,curso excel avanzado,720,9,5,29,http://a2capacitacion.com/cursoexcelgratis.html
30,curso de excel avanzado,1000,11,2,23,http://a2capacitacion.com/cursoexcelgratis.html
31,curso basico de excel,1000,11,2,32,http://a2capacitacion.com/cursoexcelgratis.html
32,cursos de excel básico,1000,12,4,31,http://a2capacitacion.com/cursoexcelgratis.html
33,curso excel,1900,12,2,22,http://a2capacitacion.com/cursoexcelgratis.html
34,curso excel basico,390,12,2,16,http://a2capacitacion.com/cursoexcelgratis.html
35,curso de excel certificado,480,12,1,24,http://a2capacitacion.com/curso-excel-en-linea-con-power-y-macros.html
36,cursos de excel certificados,480,12,1,24,http://a2capacitacion.com/curso-excel-en-linea-con-power-y-macros.html
37,curso de excel con certificado,480,13,1,14,http://a2capacitacion.com/curso-excel-en-linea-con-power-y-macros.html
38,cursos de excel gratis con certificado,880,13,1,14,http://a2capacitacion.com/cursoexcelgratis.html
39,curso de excel virtual,320,14,1,24,http://a2capacitacion.com/cursoexcelgratis.html
40,cursos en excel avanzado,720,15,1,21,http://a2capacitacion.com/cursoexcelgratis.html
41,descargar excel,2900,16,3,33,http://a2capacitacion.com/cursoexcelgratis.html
42,excel intermedio temas,210,16,1,14,http://a2capacitacion.com/cursoexcelgratis.html
43,tutorial de excel,320,17,1,18,http://a2capacitacion.com/cursoexcelgratis.html
44,basico excel,1900,20,2,42,http://a2capacitacion.com/cursoexcelgratis.html
45,excel descargar,1900,22,3,31,http://a2capacitacion.com/cursoexcelgratis.html
46,excel descargar gratis,3600,23,5,38,http://a2capacitacion.com/cursoexcelgratis.html
47,como manejar excel,390,23,0,6,http://a2capacitacion.com/cursoexcelgratis.html
48,excel en linea gratis,260,23,0,25,http://a2capacitacion.com/cursoexcelgratis.html
49,como usar excel,390,26,0,2,http://a2capacitacion.com/cursoexcelgratis.html
50,excel basico,1900,27,3,29,http://a2capacitacion.com/cursoexcelgratis.html
51,buscarv en excel,1600,27,1,26,http://a2capacitacion.com/cursoexcelgratis.html
52,capacitarte,320,27,0,19,http://a2capacitacion.com/
53,excel en linea,1900,28,1,31,http://a2capacitacion.com/cursoexcelgratis.html
54,cursos de excel presencial,480,28,0,20,http://a2capacitacion.com/cursoexcelgratis.html
55,condicionales excel,1300,29,0,26,http://a2capacitacion.com/cursoexcelgratis.html
56,tabla dinamica,1900,31,3,45,http://a2capacitacion.com/cursoexcelgratis.html
57,formula buscarv,1000,31,0,26,http://a2capacitacion.com/cursoexcelgratis.html
58,como hacer formulas en excel,320,31,0,8,http://a2capacitacion.com/cursoexcelgratis.html
59,programa de excel,210,32,0,31,http://a2capacitacion.com/cursoexcelgratis.html
60,función buscarv,1300,32,0,26,http://a2capacitacion.com/cursoexcelgratis.html
61,excel online gratis,1300,33,1,31,http://a2capacitacion.com/cursoexcelgratis.html
62,función si en excel,2400,33,1,42,http://a2capacitacion.com/cursoexcelgratis.html
63,formula de porcentaje en excel,880,33,0,29,http://a2capacitacion.com/cursoexcelgratis.html
64,en excel,590,33,0,23,http://a2capacitacion.com/cursoexcelgratis.html
65,power apps,8100,34,18,26,http://a2capacitacion.com/
66,función sumar,210,34,0,18,http://a2capacitacion.com/cursoexcelgratis.html
67,formula condicional excel,260,34,0,7,http://a2capacitacion.com/cursoexcelgratis.html
68,función si en excel ejemplos,720,34,0,39,http://a2capacitacion.com/cursoexcelgratis.html
69,como hacer una suma en excel,880,34,0,29,http://a2capacitacion.com/cursoexcelgratis.html
70,formula porcentaje en excel,390,34,0,8,http://a2capacitacion.com/cursoexcelgratis.html
71,como descargar excel gratis,320,34,0,10,http://a2capacitacion.com/cursoexcelgratis.html
72,prueba de excel para entrevista,590,35,0,7,http://a2capacitacion.com/
73,porcentaje en excel,1300,35,0,35,http://a2capacitacion.com/cursoexcelgratis.html
74,excel porcentaje,1300,35,0,34,http://a2capacitacion.com/cursoexcelgratis.html
75,excel programa,320,35,0,35,http://a2capacitacion.com/cursoexcelgratis.html
76,excel formatos,260,36,0,13,http://a2capacitacion.com/cursoexcelgratis.html
77,fila excel,1000,36,0,27,http://a2capacitacion.com/cursoexcelgratis.html
78,excel tablas,480,36,0,8,http://a2capacitacion.com/cursoexcelgratis.html
79,tablas de excel,480,36,0,11,http://a2capacitacion.com/cursoexcelgratis.html
80,excel funcion si,2400,37,0,46,http://a2capacitacion.com/cursoexcelgratis.html
81,formula porcentaje excel,480,37,0,11,http://a2capacitacion.com/cursoexcelgratis.html
82,curso de excel en el sena,2400,37,0,21,http://a2capacitacion.com/cursoexcelgratis.html
83,como se suma en excel,720,37,0,28,http://a2capacitacion.com/cursoexcelgratis.html
84,como hacer sumas en excel,590,37,0,7,http://a2capacitacion.com/bundled/Excel+Macros+Power
85,sacar porcentaje en excel,1000,37,0,35,http://a2capacitacion.com/cursoexcelgratis.html
86,como sumar una columna en excel,720,37,0,26,http://a2capacitacion.com/cursoexcelgratis.html
87,fórmula en excel,1000,37,0,35,http://a2capacitacion.com/cursoexcelgratis.html
88,diferente en excel,590,37,0,35,http://a2capacitacion.com/cursoexcelgratis.html
89,como usar buscarv,390,38,0,6,http://a2capacitacion.com/cursoexcelgratis.html
90,formula en excel,320,38,0,12,http://a2capacitacion.com/cursoexcelgratis.html
91,función o en excel,390,38,0,1,http://a2capacitacion.com/cursoexcelgratis.html
92,si conjunto excel,260,38,0,2,http://a2capacitacion.com/cursoexcelgratis.html
93,como hacer un cuadrado en excel,720,38,0,2,http://a2capacitacion.com/cursoexcelgratis.html
94,fila en excel,1000,38,0,33,http://a2capacitacion.com/cursoexcelgratis.html
95,niveles de excel,880,39,0,18,http://a2capacitacion.com/cursoexcelgratis.html
96,excel $ celda,1300,39,0,27,http://a2capacitacion.com/cursoexcelgratis.html
97,smartpro academy,320,39,0,19,http://a2capacitacion.com/cursoexcelgratis.html
98,como hacer suma en excel,590,39,0,29,http://a2capacitacion.com/cursoexcelgratis.html
99,como sacar el porcentaje en excel,1000,39,0,35,http://a2capacitacion.com/cursoexcelgratis.html
100,cómo usar buscarv,390,39,0,6,http://a2capacitacion.com/cursoexcelgratis.html
101,tablas dinamicas,1900,39,0,38,http://a2capacitacion.com/cursoexcelgratis.html
102,celdas en excel,1300,39,0,27,http://a2capacitacion.com/cursoexcelgratis.html
103,condicional en excel,1300,39,0,29,http://a2capacitacion.com/cursoexcelgratis.html
104,ninja excel,480,39,0,14,http://a2capacitacion.com/cursoexcelgratis.html
105,excel como hacer tablas,1600,39,0,29,http://a2capacitacion.com/cursoexcelgratis.html
106,función y en excel,480,40,0,7,http://a2capacitacion.com/cursoexcelgratis.html
107,suma excel,2400,40,0,30,http://a2capacitacion.com/cursoexcelgratis.html
108,columna y fila en excel,3600,40,0,5,http://a2capacitacion.com/cursoexcelgratis.html
109,formulas excel si,880,40,0,2,http://a2capacitacion.com/cursoexcelgratis.html
110,fórmulas de excel porcentaje,880,40,0,12,http://a2capacitacion.com/cursoexcelgratis.html
111,fórmula excel,1300,40,0,33,http://a2capacitacion.com/cursoexcelgratis.html
112,power pivot excel,210,40,0,14,http://a2capacitacion.com/
113,celda excel,1300,41,0,27,http://a2capacitacion.com/cursoexcelgratis.html
114,como sumar en excel una columna,720,41,0,26,http://a2capacitacion.com/cursoexcelgratis.html
115,macros excel,720,41,0,34,http://a2capacitacion.com/cursoexcelgratis.html
116,diplomado excel,390,41,0,30,http://a2capacitacion.com/cursoexcelgratis.html
117,capacítate para el empleo iniciar sesión,210,41,0,42,http://a2capacitacion.com/
118,como hacer un cuadro en excel,720,41,0,21,http://a2capacitacion.com/cursoexcelgratis.html
119,formulas de excel suma,1000,41,0,26,http://a2capacitacion.com/cursoexcelgratis.html
120,columna excel,1900,41,0,33,http://a2capacitacion.com/cursoexcelgratis.html
121,como hacer una macros en excel,720,42,0,27,http://a2capacitacion.com/cursoexcelgratis.html
122,diplomados excel,390,42,0,30,http://a2capacitacion.com/cursoexcelgratis.html
123,curso sena excel,1300,42,0,13,http://a2capacitacion.com/cursoexcelgratis.html
124,como sacar el porcentaje de un valor en excel,880,42,0,10,http://a2capacitacion.com/cursoexcelgratis.html
125,fórmula de excel,320,42,0,12,http://a2capacitacion.com/cursoexcelgratis.html
126,cómo hacer un cuadro en excel,720,42,0,34,http://a2capacitacion.com/cursoexcelgratis.html
127,fórmulas excel porcentaje,480,43,0,11,http://a2capacitacion.com/cursoexcelgratis.html
128,fórmula para porcentaje en excel,210,43,0,10,http://a2capacitacion.com/cursoexcelgratis.html
129,como crear macros en excel,260,43,0,15,http://a2capacitacion.com/bundled/Excel+Macros+Power
130,tabla dinámica,1900,43,0,43,http://a2capacitacion.com/cursoexcelgratis.html
131,como crear macro en excel,260,43,0,5,http://a2capacitacion.com/bundled/Excel+Macros+Power
132,cómo hacer una tabla en excel,1600,43,0,35,http://a2capacitacion.com/cursoexcelgratis.html
133,fórmula porcentajes excel,480,43,0,13,http://a2capacitacion.com/cursoexcelgratis.html
134,sumar porcentaje en excel,210,43,0,3,http://a2capacitacion.com/cursoexcelgratis.html
135,trabajar en excel,320,43,0,17,http://a2capacitacion.com/
136,tablas de excel con datos,260,43,0,3,http://a2capacitacion.com/cursoexcelgratis.html
137,columna fila excel,3600,43,0,5,http://a2capacitacion.com/cursoexcelgratis.html
138,sumar porcentajes en excel,210,43,0,5,http://a2capacitacion.com/cursoexcelgratis.html
139,cómo hacer fórmulas en excel,320,44,0,14,http://a2capacitacion.com/cursoexcelgratis.html
140,como hacer cuadro en excel,260,44,0,13,http://a2capacitacion.com/cursoexcelgratis.html
141,funciones en excel,880,44,0,23,http://a2capacitacion.com/cursoexcelgratis.html
142,excel como hacer sumas,880,44,0,9,http://a2capacitacion.com/cursoexcelgratis.html
143,macros en excel,1600,44,0,25,http://a2capacitacion.com/cursoexcelgratis.html
144,coincidir en excel,480,44,0,3,http://a2capacitacion.com/cursoexcelgratis.html
145,archivos excel,320,44,0,7,http://a2capacitacion.com/cursoexcelgratis.html
146,sumar si conjunto excel,320,44,0,2,http://a2capacitacion.com/cursoexcelgratis.html
147,referencias absolutas en excel,480,44,0,5,http://a2capacitacion.com/cursoexcelgratis.html
148,tablas de excel ejemplos,320,44,0,5,http://a2capacitacion.com/cursoexcelgratis.html
149,sumar si conjunto,1600,44,0,37,http://a2capacitacion.com/cursoexcelgratis.html
150,formulas excel porcentaje,480,44,0,11,http://a2capacitacion.com/cursoexcelgratis.html
151,referencias absolutas y relativas en excel,210,44,0,5,http://a2capacitacion.com/cursoexcelgratis.html
152,como se saca el porcentaje en excel,390,44,0,9,http://a2capacitacion.com/cursoexcelgratis.html
153,tabla dinamica excel,480,45,0,22,http://a2capacitacion.com/cursoexcelgratis.html
154,sumar.si excel,1300,45,0,32,http://a2capacitacion.com/cursoexcelgratis.html
155,función o excel,390,45,0,4,http://a2capacitacion.com/cursoexcelgratis.html
156,función suma en excel,260,45,0,5,http://a2capacitacion.com/cursoexcelgratis.html
157,si anidado en excel,480,45,0,33,http://a2capacitacion.com/bundled/Excel+Macros+Power
158,excel que es una celda,2900,45,0,27,http://a2capacitacion.com/cursoexcelgratis.html
159,excel graficas,1600,45,0,42,http://a2capacitacion.com/cursoexcelgratis.html
160,instalar power bi,260,45,0,40,http://a2capacitacion.com/bundled/Excel+Macros+Power
161,formula de suma en excel,1000,45,0,27,http://a2capacitacion.com/cursoexcelgratis.html
162,curso de excel presencial,480,45,0,13,http://a2capacitacion.com/cursoexcelgratis.html
163,como hacer una fórmula en excel,260,45,0,8,http://a2capacitacion.com/cursoexcelgratis.html
164,excel formula,320,45,0,13,http://a2capacitacion.com/cursoexcelgratis.html
165,qué es una columna en excel,1900,46,0,28,http://a2capacitacion.com/cursoexcelgratis.html
166,cuadro de excel,260,46,0,21,http://a2capacitacion.com/cursoexcelgratis.html
167,celda en excel,1300,46,0,27,http://a2capacitacion.com/cursoexcelgratis.html
168,si anidado excel,590,46,0,13,http://a2capacitacion.com/bundled/Excel+Macros+Power
169,sumar en excel,2400,46,0,37,http://a2capacitacion.com/cursoexcelgratis.html
170,porcentaje en excel fórmula,480,46,0,11,http://a2capacitacion.com/cursoexcelgratis.html
171,fórmulas para sumar en excel,1000,46,0,5,http://a2capacitacion.com/cursoexcelgratis.html
172,suma en excel,2400,46,0,31,http://a2capacitacion.com/cursoexcelgratis.html
173,como sumar porcentaje en excel,590,46,0,5,http://a2capacitacion.com/cursoexcelgratis.html
174,lista en excel,590,46,0,2,http://a2capacitacion.com/cursoexcelgratis.html
175,columna en excel,1900,46,0,33,http://a2capacitacion.com/cursoexcelgratis.html
176,buscarv en google sheets,210,46,0,5,http://a2capacitacion.com/bundled/Excel+Macros+Power
177,coincidir excel,480,47,0,2,http://a2capacitacion.com/cursoexcelgratis.html
178,fórmula de promedio en excel,390,47,0,5,http://a2capacitacion.com/cursoexcelgratis.html
179,validación de datos excel,1000,47,0,31,http://a2capacitacion.com/
180,como hacer macros en excel,720,47,0,14,http://a2capacitacion.com/bundled/Excel+Macros+Power
181,operaciones en excel,320,47,0,13,http://a2capacitacion.com/cursoexcelgratis.html
182,excel tablas dinamicas,6600,47,0,41,http://a2capacitacion.com/cursoexcelgratis.html
183,sumar horas en excel,320,47,0,5,http://a2capacitacion.com/cursoexcelgratis.html
184,como eliminar una tabla dinámica,260,47,0,5,http://a2capacitacion.com/cursoexcelgratis.html
185,fórmula buscarv en excel,590,48,0,5,http://a2capacitacion.com/cursoexcelgratis.html
186,tabla de datos en excel,480,48,0,2,http://a2capacitacion.com/cursoexcelgratis.html
187,formula de promedio en excel,390,48,0,5,http://a2capacitacion.com/cursoexcelgratis.html
188,ejercicios de excel,480,48,0,13,http://a2capacitacion.com/cursoexcelgratis.html
189,en excel que es una celda,2900,48,0,23,http://a2capacitacion.com/cursoexcelgratis.html
190,menu desplegable en excel,260,48,0,5,http://a2capacitacion.com/cursoexcelgratis.html
191,excel indice,260,48,0,18,http://a2capacitacion.com/cursoexcelgratis.html
192,validacion de datos excel,1000,48,0,30,http://a2capacitacion.com/
193,bases de datos en excel para practicar,260,48,0,6,http://a2capacitacion.com/cursoexcelgratis.html
194,power bi para mac,320,48,0,8,http://a2capacitacion.com/bundled/Excel+Macros+Power
195,excel buscarv,2900,48,0,3,http://a2capacitacion.com/cursoexcelgratis.html
196,como sumar horas en excel,480,48,0,5,http://a2capacitacion.com/cursoexcelgratis.html
197,excel funciones,880,48,0,15,http://a2capacitacion.com/cursoexcelgratis.html
198,descargar excel gratis para pc,1600,49,0,11,http://a2capacitacion.com/cursoexcelgratis.html
199,cómo crear macros en excel,320,49,0,14,http://a2capacitacion.com/cursoexcelgratis.html
200,logo de excel,1900,49,0,33,http://a2capacitacion.com/cursoexcelgratis.html
201,función sumar en excel,260,49,0,2,http://a2capacitacion.com/cursoexcelgratis.html
202,función buscarv excel,1000,49,0,24,http://a2capacitacion.com/bundled/Excel+Macros+Power
203,formula suma excel,480,49,0,8,http://a2capacitacion.com/cursoexcelgratis.html
204,microsoft powerapps,480,49,0,32,http://a2capacitacion.com/
205,insertar fila en excel con teclado,210,49,0,5,http://a2capacitacion.com/cursoexcelgratis.html
206,referencias absolutas,320,50,0,18,http://a2capacitacion.com/cursoexcelgratis.html
207,teclado descargar,590,50,0,19,http://a2capacitacion.com/cursoexcelgratis.html
208,qué es una fila en excel,1900,50,0,31,http://a2capacitacion.com/cursoexcelgratis.html
209,5 ejemplos de tablas dinámicas en excel,320,50,0,8,http://a2capacitacion.com/cursoexcelgratis.html
210,como crear una macro en excel,260,50,0,5,http://a2capacitacion.com/
211,condicional si en excel,480,50,0,32,http://a2capacitacion.com/cursoexcelgratis.html
212,comando para buscar en excel,260,50,0,4,http://a2capacitacion.com/cursoexcelgratis.html
213,fórmula de suma en excel,1000,50,0,4,http://a2capacitacion.com/cursoexcelgratis.html
214,cursos de excel comfama,260,50,0,11,http://a2capacitacion.com/
215,formato de celda en excel,320,50,0,5,http://a2capacitacion.com/cursoexcelgratis.html
216,como hacer tablas dinamicas,1900,51,0,37,http://a2capacitacion.com/cursoexcelgratis.html
217,que es una columna en excel,1900,51,0,24,http://a2capacitacion.com/cursoexcelgratis.html
218,formula buscarv excel,260,51,0,2,http://a2capacitacion.com/cursoexcelgratis.html
219,qué es fila en excel,1900,51,0,27,http://a2capacitacion.com/cursoexcelgratis.html
220,qué es una fórmula en excel,1600,51,0,31,http://a2capacitacion.com/cursoexcelgratis.html
221,ejercicios de excel basico,390,51,0,6,http://a2capacitacion.com/cursoexcelgratis.html
222,función if en excel,880,52,0,3,http://a2capacitacion.com/cursoexcelgratis.html
223,qué es una celda excel,260,52,0,5,http://a2capacitacion.com/cursoexcelgratis.html
224,fórmula si en excel,880,52,0,5,http://a2capacitacion.com/cursoexcelgratis.html
225,como crear bases de datos en excel,260,52,0,1,http://a2capacitacion.com/
226,formula sumar si,390,52,0,7,http://a2capacitacion.com/cursoexcelgratis.html
227,qué es una función en excel,1300,52,0,24,http://a2capacitacion.com/cursoexcelgratis.html
228,excel condicional si,480,52,0,35,http://a2capacitacion.com/cursoexcelgratis.html
229,crear tablas en excel,210,53,0,2,http://a2capacitacion.com/cursoexcelgratis.html
230,descargar excel gratis para windows 10,260,53,0,9,http://a2capacitacion.com/cursoexcelgratis.html
231,como eliminar una tabla dinamica,260,53,0,5,http://a2capacitacion.com/cursoexcelgratis.html
232,tabla de excel,880,53,0,15,http://a2capacitacion.com/cursoexcelgratis.html
233,fórmulas de excel,320,53,0,18,http://a2capacitacion.com/cursoexcelgratis.html
234,funcion en excel,590,53,0,22,http://a2capacitacion.com/bundled/Excel+Macros+Power
235,función buscarv en excel ejemplos,480,53,0,5,http://a2capacitacion.com/cursoexcelgratis.html
236,analisis de datos excel,590,53,0,4,http://a2capacitacion.com/
237,que se puede hacer en excel,260,53,0,32,http://a2capacitacion.com/cursoexcelgratis.html
238,función sumar si,590,53,0,6,http://a2capacitacion.com/cursoexcelgratis.html
239,formatos en excel,260,54,0,12,http://a2capacitacion.com/cursoexcelgratis.html
240,ejercicios en excel,260,54,0,13,http://a2capacitacion.com/cursoexcelgratis.html
241,analisis de datos en excel,590,54,0,2,http://a2capacitacion.com/
242,función coincidir en excel,260,54,0,5,http://a2capacitacion.com/cursoexcelgratis.html
243,tabla de datos excel,480,54,0,2,http://a2capacitacion.com/cursoexcelgratis.html
244,condicionales en excel,1300,54,0,26,http://a2capacitacion.com/bundled/Excel+Macros+Power
245,que es una fila en excel,1900,54,0,31,http://a2capacitacion.com/cursoexcelgratis.html
246,tabla en excel,320,54,0,4,http://a2capacitacion.com/cursoexcelgratis.html
247,excel sumar si conjunto,320,54,0,6,http://a2capacitacion.com/cursoexcelgratis.html
248,crear tablas excel,210,54,0,10,http://a2capacitacion.com/cursoexcelgratis.html
249,columna de excel,390,54,0,13,http://a2capacitacion.com/cursoexcelgratis.html
250,excel si condicional,480,54,0,36,http://a2capacitacion.com/cursoexcelgratis.html
251,que es una celda excel,260,54,0,5,http://a2capacitacion.com/cursoexcelgratis.html
252,como hacer una tabla dinámica,1900,55,0,35,http://a2capacitacion.com/cursoexcelgratis.html
253,para que se utiliza excel,320,55,0,13,http://a2capacitacion.com/cursoexcelgratis.html
254,como crear una tabla en excel,590,55,0,8,http://a2capacitacion.com/cursoexcelgratis.html
255,tipos de datos en excel,320,55,0,5,http://a2capacitacion.com/cursoexcelgratis.html
256,power bi mac,480,55,0,14,http://a2capacitacion.com/bundled/Excel+Macros+Power
257,como hacer una tabla en excel,1600,55,0,9,http://a2capacitacion.com/cursoexcelgratis.html
258,como crear tablas dinamicas,320,55,0,14,http://a2capacitacion.com/cursoexcelgratis.html
259,fórmula buscarv,1000,55,0,3,http://a2capacitacion.com/bundled/Excel+Macros+Power
